시군명,사업장명,인허가일자,영업상태명,입소정원(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,남북동부녀회경로당,19920131,운영중,0,,경기도 용인시 기흥구 마북동,,37.3139837463,127.1378350754
용인시,양촌 노인정,19920101,운영중,19,경기도 용인시 처인구 모현읍 대지로 449,경기도 용인시 처인구 모현면 오산리 175-1번지,16884,37.3309820628,127.1558737916
용인시,전대6리경로당,19930414,운영중,41,경기도 용인시 처인구 포곡읍 부곡로 3,경기도 용인시 처인구 포곡읍 전대리 557-1번지,17023,37.2804857530,127.2210362160
용인시,정수리경로당,19930315,운영중,0,경기도 용인시 처인구 양지면 한터로 855,경기도 용인시 처인구 양지면 정수리 242번지,17155,37.2685174710,127.2898636586
용인시,부개울 노인정,19930101,운영중,30,경기도 용인시 처인구 모현읍 백옥대로 2104-21,경기도 용인시 처인구 모현면 초부리 77-2번지,17037,37.3126275258,127.2431150364
용인시,대대4리 경로당,20081217,운영중,20,경기도 용인시 처인구 양지면 대대로53번길 18,경기도 용인시 처인구 양지면 대대리 133-1번지,17039,37.2675518091,127.2632535590
용인시,물푸레마을9단지경로당,20081224,운영중,60,,경기도 용인시 기흥구 청덕동,,37.2974101663,127.1411100335
용인시,중리경로당,19870929,운영중,44,경기도 용인시 처인구 이동읍 묘봉로 169,경기도 용인시 처인구 이동면 묘봉리 360-2번지,17138,37.1285364987,127.2297932754
용인시,사암직할분회 경로당,19870101,운영중,86,경기도 용인시 처인구 원삼면 원양로 382-1,경기도 용인시 처인구 원삼면 사암리 1207-1번지,17167,37.1918905160,127.3056452265
용인시,개나리경로당,19870520,운영중,47,,경기도 용인시 처인구 양지면,,37.2446144405,127.2893559968
용인시,한터경로당,19870811,운영중,42,경기도 용인시 처인구 양지면 한터로541번길 16,경기도 용인시 처인구 양지면 대대리 430-1번지,17039,37.2631857939,127.2655382755
용인시,좌전경로당,19880101,운영중,0,,경기도 용인시 처인구 원삼면 좌항리 114번지,17166,37.2039151505,127.3210016095
용인시,죽능1리 죽림경로당,19600101,운영중,59,경기도 용인시 처인구 원삼면 보개원삼로 1599-1,경기도 용인시 처인구 원삼면 죽능리 190번지,17170,37.1370410670,127.3068446137
용인시,원삼면분회노인회,19700101,운영중,0,경기도 용인시 처인구 원삼면 고당로 5,경기도 용인시 처인구 원삼면 고당리 80-2번지,17168,37.1651767318,127.3118435076
용인시,적동경로당,19730101,운영중,28,,경기도 용인시 처인구 이동면,,37.1657010467,127.2121492250
용인시,교동경로당,19780320,운영중,32,,경기도 용인시 처인구 양지면,,37.2446144405,127.2893559968
