2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감,원데이터,전년 대비 증감
6.4,0.4,6.8,0.4,7.3,0.5,7.8,0.5,8.3,0.5,8.9,0.6,9.6,0.7,10.2,0.6,10.8,0.6,11.3,0.5,11.8,0.5,12.5,0.7,13.3,0.8,14,0.7,14.6,0.6,15.3,0.7,16.3,1,17.1,0.8,18.2,1.1,19.4,1.2,20.4,1
