행정구역,총인구수,연령구간인구수,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
온천제2동,"14,739","7,383","1,254","1,141","1,409","1,156",907,659,484,250,97,25,1
온천제3동,"38,367","17,115","3,389","3,033","3,437","2,726","1,938","1,272",841,340,113,24,2
사직제1동,"10,544","4,520",915,701,805,697,532,397,311,117,35,10,0
사직제2동,"27,220","9,769","2,581","1,928","1,875","1,368",919,564,320,147,55,10,2
사직제3동,"17,361","7,289","1,359","1,230","1,333","1,199",886,670,383,167,52,9,1
안락제1동,"14,451","7,582","1,167","1,251","1,529","1,346",941,665,430,184,57,12,0
안락제2동,"27,083","12,405","2,435","2,200","2,564","2,015","1,443",830,532,283,89,9,5
명장제1동,"13,946","6,981","1,113","1,209","1,426","1,231",909,529,339,166,49,7,3
명장제2동,"14,804","7,570","1,171","1,310","1,650","1,417",911,562,344,141,51,12,1
남구,"260,440","119,145","22,191","19,561","22,343","18,810","14,392","10,616","6,962","3,089",964,191,26
대연제1동,"15,609","6,901","1,203",982,"1,200","1,118",943,717,484,193,50,8,3
대연제3동,"32,537","10,793","2,590","2,004","1,975","1,507","1,063",780,515,244,96,16,3
대연제4동,"12,321","5,765",895,911,"1,093",912,766,578,383,173,43,10,1
대연제5동,"16,901","7,248","1,391","1,104","1,294","1,147",913,680,454,192,61,11,1
대연제6동,"15,306","5,604","1,231","1,003","1,029",819,629,441,274,124,43,9,2
용호제1동,"44,078","19,790","4,324","3,570","3,685","2,880","2,109","1,507","1,022",482,176,32,3
용호제2동,"16,734","7,618","1,401","1,261","1,494","1,259",947,640,343,194,66,13,0
용호제3동,"12,160","6,847","1,031","1,030","1,288","1,247",917,683,400,183,52,14,2
용호제4동,"8,498","4,226",690,639,845,769,545,370,217,106,37,5,3
용당동,"8,211","3,939",809,685,710,650,431,329,201,88,31,4,1
감만제1동,"12,837","6,885","1,070","1,067","1,374","1,200",885,640,429,173,37,10,0
감만제2동,"6,718","3,780",544,544,692,621,508,446,279,113,28,4,1
우암동,"12,738","7,189",979,"1,051","1,428","1,261",990,732,450,203,83,10,2
문현제1동,"13,506","6,803","1,261","1,169","1,253","1,067",806,615,411,164,47,10,0
문현제2동,"8,499","4,096",635,616,760,625,499,421,338,150,39,11,2
문현제3동,"15,586","6,995","1,380","1,216","1,315","1,038",835,572,405,172,48,14,0
문현제4동,"8,201","4,666",757,709,908,690,606,465,357,135,27,10,2
북구,"282,058","132,626","25,534","26,564","28,215","20,212","13,230","8,897","5,952","2,913",905,181,23
구포제1동,"15,983","8,042","1,351","1,593","1,839","1,250",824,575,376,160,64,8,2
구포제2동,"25,156","12,471","2,344","2,522","2,766","1,963","1,241",789,529,237,65,11,4
구포제3동,"19,572","10,077","1,972","2,176","2,159","1,525","1,007",634,374,160,56,12,2
금곡동,"37,803","20,112","3,498","3,754","4,025","2,926","2,065","1,652","1,274",708,182,26,2
화명제1동,"41,506","16,300","4,046","3,991","3,647","2,037","1,173",684,428,201,70,21,2
화명제2동,"17,056","7,776","1,630","1,761","1,552","1,079",674,505,333,173,54,13,2
화명제3동,"29,699","11,359","3,032","2,376","1,952","1,398","1,024",733,498,248,82,14,2
