행정구역별(읍면동),합계,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세이상,고령인구합계
반송1동,15298,1280,1078,942,607,266,96,25,X,4297
우1동,22781,1568,1229,862,517,206,88,11,X,4483
우2동,30183,1623,1241,894,661,316,106,18,X,4862
우3동,27192,1547,1077,732,483,199,62,12,X,4114
사하구,312057,21482,15207,10803,6807,3161,1174,254,32,58920
괴정1동,19861,1524,1155,911,628,335,146,40,X,4741
괴정2동,13842,1153,893,567,321,116,36,X,X,3090
괴정3동,12828,1100,817,661,399,167,55,11,X,3211
괴정4동,11144,991,738,491,309,139,27,5,X,2701
당리동,26729,1980,1335,914,547,283,82,8,X,5152
하단1동,21871,1336,975,633,444,195,66,14,X,3666
하단2동,27193,1427,1050,763,452,199,76,22,X,3991
신평1동,17304,1300,923,610,369,101,41,X,X,3348
신평2동,16330,991,602,403,293,188,61,15,X,2554
장림1동,12487,746,557,369,234,97,39,X,5,2051
장림2동,28007,1783,1150,756,393,163,75,16,X,4337
다대1동,39650,2349,1617,1243,789,386,154,27,X,6567
다대2동,27157,1905,1277,856,566,254,83,21,X,4964
구평동,11909,674,446,286,212,149,78,21,X,1869
감천1동,19674,1618,1147,848,535,278,112,29,5,4572
감천2동,6071,605,525,492,316,111,43,13,X,2106
금정구,237219,16688,12251,9223,5912,3069,1062,213,30,48448
서1동,5705,598,430,340,197,87,19,X,X,1672
서2동,9666,884,614,443,267,116,38,6,X,2369
부곡1동,8369,842,688,504,276,142,31,X,X,2484
부곡2동,16429,1104,772,636,391,189,56,16,X,3164
부곡3동,16594,1034,729,514,421,281,111,21,X,3113
부곡4동,13025,1215,863,616,341,161,57,15,X,3268
장전1동,20688,852,650,450,283,138,32,6,X,2411
선두구동,2449,240,192,149,88,35,10,X,X,719
청룡노포동,9818,897,715,496,344,203,61,12,X,2732
남산동,31661,2120,1579,1317,743,397,129,33,X,6322
구서1동,19039,1205,817,595,363,140,44,6,X,3170
구서2동,33015,2159,1524,1074,781,420,167,32,X,6161
금성동,1055,105,58,35,27,15,X,X,X,243
서3동,11454,1054,839,601,370,151,38,7,X,3062
금사회동동,8651,877,615,479,280,133,66,12,X,2463
장전2동,29601,1502,1166,974,740,461,200,43,9,5095
강서구,136734,6109,3759,2499,1583,704,237,36,10,14937
대저1동,6221,665,501,408,227,99,27,X,X,1931
대저2동,6719,501,355,267,184,100,32,X,X,1444
강동동,4198,500,311,244,173,71,35,6,X,1343
가락동,2330,288,188,163,114,46,17,X,X,819
녹산동,36482,1435,832,521,343,139,43,7,X,3320
가덕도동,3310,335,247,177,115,54,19,X,X,953
명지1동,47958,1470,818,448,276,124,41,8,X,3188
명지2동,29516,915,507,271,151,71,23,X,X,1939
연제구,204947,14089,10269,7617,4781,2184,751,162,22,39875
거제1동,29495,1651,1223,993,580,254,92,15,X,4809
거제2동,12315,686,529,399,259,125,41,11,X,2051
거제3동,9869,822,664,568,388,148,51,X,X,2645
거제4동,10635,749,513,394,271,159,66,10,X,2162
연산1동,15879,1166,880,549,320,116,21,5,X,3058
연산2동,20004,1170,886,677,408,143,39,10,X,3336
연산3동,7123,696,579,399,249,74,22,X,X,2024
연산4동,16525,1388,958,730,455,201,78,20,X,3830
연산5동,16517,895,691,554,383,215,84,25,5,2852
연산6동,16958,1443,1041,835,507,204,53,13,X,4098
연산8동,14048,958,684,409,219,91,26,X,X,2389
연산9동,35579,2465,1621,1110,742,454,178,43,8,6621
수영구,171461,12508,9830,7070,4655,2234,833,141,17,37288
남천1동,13643,899,735,579,470,272,134,28,X,3121
남천2동,11509,824,610,395,247,124,51,5,X,2258
수영동,14374,1348,1079,803,500,197,51,7,X,3985
망미1동,26823,2240,1756,1169,822,408,150,23,X,6569
망미2동,11143,861,713,490,240,99,33,X,X,2437
광안1동,25374,1586,1262,897,546,233,90,10,X,4626
광안2동,18149,1141,956,738,427,174,35,5,X,3476
광안3동,9969,733,622,475,370,216,93,19,X,2530
광안4동,12658,884,665,521,438,198,83,19,X,2811
민락동,27819,1992,1432,1003,595,313,113,24,X,5475
사상구,216350,14983,10080,6797,4147,1853,616,126,15,38617
삼락동,6489,547,416,284,151,47,16,X,X,1463
모라1동,27714,2118,1352,903,505,199,59,9,X,5145
모라3동,10683,1148,955,650,477,182,48,9,X,3470
덕포1동,9031,615,456,352,234,92,33,5,X,1789
덕포2동,13328,1002,642,380,237,110,48,6,X,2426
괘법동,22963,1396,925,590,318,170,53,13,X,3467
주례1동,15400,1055,657,457,223,113,29,X,X,2538
주례2동,24990,1377,918,652,377,131,34,5,X,3494
주례3동,13374,971,662,431,285,141,41,6,X,2537
학장동,30430,2111,1383,925,634,298,111,29,X,5494
엄궁동,28200,1527,947,619,439,273,121,26,5,3957
감전동,13748,1116,767,554,267,97,23,12,X,2837
기장군,169465,8947,6750,5047,3373,1704,580,152,24,26577
기장읍,52098,3433,2670,2204,1539,842,293,81,12,11074
장안읍,8668,643,482,413,352,198,74,23,5,2190
정관읍,80670,3054,2202,1456,829,359,125,26,X,8052
일광면,20366,1056,808,557,341,182,52,12,X,3012
철마면,7663,761,588,417,312,123,36,10,X,2249
