약국명칭,약국우편번호(도로명),약국소재지(도로명),약국구분
새하나약국,47570,부산광역시 연제구 과정로 126 (연산동),약국
새나라약국,47543,부산광역시 연제구 거제천로 89 (거제동),약국
애니팜약국,47520,부산광역시 연제구 중앙대로 1130 (연산동),약국
미래약국,47587,부산광역시 연제구 과정로 111 (연산동),약국
비비비약국,47551,부산광역시 연제구 반송로 50 (연산동),약국
새시대약국,47598,부산광역시 연제구 중앙천로 94 (연산동),약국
메디칼약국,47565,부산광역시 연제구 과정로 218 (연산동),약국
주민약국,47616,부산광역시 연제구 금련로 3 (연산동),약국
코끼리약국,47520,부산광역시 연제구 중앙대로 1112 (연산동),약국
무진약국,47569,부산광역시 연제구 과정로 148 (연산동),약국
연산삼보약국,47610,부산광역시 연제구 연수로 148 (연산동),약국
메디팜꿀벌약국,47508,부산광역시 연제구 아시아드대로 94 (거제동),약국
제일약국,47603,부산광역시 연제구 월드컵대로 9 (연산동),약국
아람약국,47562,부산광역시 연제구 과정로 288 (연산동),약국
윤약국,47592,부산광역시 연제구 연수로 161 (연산동),약국
연동시장약국,47552,부산광역시 연제구 연동로 14 (연산동),약국
늘푸른약국,47519,부산광역시 연제구 세병로 39 (연산동),약국
가야약국,47549,부산광역시 연제구 반송로 6 (연산동),약국
인제약국,47525,"부산광역시 연제구 월드컵대로 241, 1층 (거제동)",약국
고운약국,47591,부산광역시 연제구 월드컵대로20번길 10 (연산동),약국
수민약국,47562,부산광역시 연제구 과정로 278 (연산동),약국
태광약국,47569,부산광역시 연제구 과정로164번길 9 (연산동),약국
동원약국,47548,부산광역시 연제구 거제대로96번길 23 (거제동),약국
강약국,47578,부산광역시 연제구 고분로 32 (연산동),약국
삼화약국,47549,부산광역시 연제구 반송로 12 (연산동),약국
하나약국,47525,부산광역시 연제구 아시아드대로46번길 15 (거제동),약국
