관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26170-00001,중앙공원,근린공원,부산광역시 동구 수정공원로 71-8(수정동),부산광역시 동구 수정동 707-37,35.13257724,129.0390617,918023,,,화장실,,,1944-06-10,동구청,051-440-4535,2021-07-14
26170-00001,자성대공원,근린공원,부산광역시 동구 자성로 99 (범일동,부산광역시 동구 범일동 590-5,35.13574252,129.0604498,23475,,,화장실,,,1944-01-08,동구청,051-440-4535,2021-07-14
26170-00003,좌천더숲어린이공원,어린이공원,부산광역시 동구 증산동로 49-16,부산광역시 동구 좌천동 745-4,35.13681529,129.0521561,999,,조합놀이대,,,,1972-07-01,동구청,051-440-4535,2021-07-14
26170-00004,증산공원,근린공원,부산광역시 동구 성북로36번길 46 (범일동),부산광역시 동구 범일동 산81-28,35.13740399,129.050407,31133,,,화장실,,,1986-12-02,동구청,051-440-4535,2021-07-14
26170-00005,좌천범일어린이공원,어린이공원,부산광역시 동구 성남일로 4 (좌천동,부산광역시 동구 좌천동1167,35.13139818,129.0557555,1609,,"그네, 시소, 조합놀이대",,,,1992-05-16,동구청,051-440-4535,2021-07-14
26170-00002,좌천해마루공원,소공원,부산광역시 동구 망양로850,부산광역시 동구 좌천동 931-9,35.13584114,129.0473998,117,,"벤치, 운동기구",,,,2016-03-30,동구청,051-440-4535,2021-07-14
