관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26350-00038,꽃망울공원,어린이공원,,부산광역시 해운대구 반송동 891,35.22818449,129.1590067,1680.2,,,,,,1994-12-01,부산광역시 해운대구,,2022-04-11
26350-00039,운촌어린이공원,어린이공원,,부산광역시 해운대구 우동 759-15,35.1585421,129.1521893,3635,,,,,,1998-12-22,부산광역시 해운대구,,2022-04-11
26350-00040,아시아선수촌공원,근린공원,,부산광역시 해운대구 반여동 1634,35.20216233,129.1226305,12997,,,,,,1999-03-06,부산광역시 해운대구,,2022-04-11
26350-00041,노을공원,어린이공원,,부산광역시 해운대구 반여동 1635,35.20209966,129.1235168,1901.1,,,,,,1999-03-06,부산광역시 해운대구,,2022-04-11
26350-00042,한마음공원,어린이공원,,부산광역시 해운대구 반여동 1640,35.2005549,129.120578,1693.2,,,,,,1999-03-06,부산광역시 해운대구,,2022-04-11
26350-00043,반여공원,근린공원,,부산광역시 해운대구 반여동 1630,35.1994919,129.1236657,10430,,,,,,1999-03-06,부산광역시 해운대구,,2022-04-11
26350-00044,바람공원,어린이공원,,부산광역시 해운대구 반여동 1620,35.20451896,129.1219044,4575.9,,,,,,1999-03-06,부산광역시 해운대구,,2022-04-11
26350-00045,APEC나루공원,근린공원,,부산광역시 해운대구 수영강변대로 93(우동),35.1701498,129.1160676,99999.3,,,,,,2000-08-10,부산광역시 해운대구,,2022-04-11
26350-00046,새싹공원,어린이공원,,부산광역시 해운대구 반여동 1659,35.1966116,129.12435,1500,,,,,,2000-09-07,부산광역시 해운대구,,2022-04-11
26350-00047,별바라기공원,어린이공원,,부산광역시 해운대구 반여동 1663,35.19818054,129.1185131,5527.5,,,,,,2000-09-07,부산광역시 해운대구,,2022-04-11
26350-00048,달맞이공원,근린공원,,부산광역시 해운대구 중동 986,35.15898729,129.1733951,47899,,,,,,2002-06-24,부산광역시 해운대구,,2022-04-11
26350-00049,꽃다래공원,어린이공원,,부산광역시 해운대구 반송동 산51-120일원,35.2188983,129.147041,24621,,,,,,2002-07-29,부산광역시 해운대구,,2022-04-11
