관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
26110-00001,용두산공원,근린공원,부산광역시 중구 용두산길 37-55(광복동2가),부산광역시 중구 광복동2가 1-2,35.1009305,129.0324434,65620.1,,,,,,,부산시설공단,,2021-09-16
26110-00002,중앙공원,근린공원,,부산광역시 중구 영주동 239-114,35.1096029,129.028064,207489.6,,,,,,,부산시설공단,,2021-09-16
26110-00003,영주어린이공원,어린이공원,,부산광역시 중구 영주동 274-11,35.1115211,129.0307744,198,,,,,,,부산광역시중구청,,2021-09-16
26110-00004,오름소공원,소공원,,부산광역시 중구 동광동5가 14-1,35.09971591,129.033248,3758.5,,,,,,,부산광역시중구청,,2021-09-16
